facility_id,End year,Start year,Summer only,EVI score,Number of images
COM00875.00,2005,2003,True,0.16169806929669764,70
COM00768.00,2011,2009,True,0.26362336842669354,28
COM01373.00,2006,2004,True,0.23958266294893518,70
COM01359.00,2005,2003,True,0.25730554877439926,26
COM00850.01,2002,2000,True,0.24022969150532428,70
COM00783.00,2015,2013,True,0.2999332413066712,50
COM00154.00,2006,2004,True,0.2964828530077892,54
COM00885.00,2012,2010,True,0.16000995752732497,51
COM01389.01,2010,2008,True,0.18123883792912873,53
COM01295.01,2004,2002,True,0.21689362552782962,44
COM00808.00,2011,2009,True,0.20309984883604762,25
COM00215.00,2014,2012,True,0.10028676570559468,46
COM00170.00,2005,2003,True,0.059604339240209074,24
COM00587.00,2009,2007,True,0.1312365072268624,29
COM00862.00,2011,2009,True,0.3344481016749573,49
COM00854.00,2016,2014,True,0.11051850573584646,51
COM00208.01,2010,2008,True,0.07890880147985167,55
COM00151.00,2009,2007,True,0.15443823700609055,21
COM00766.00,2008,2006,True,0.028391284595331825,34
COM01401.01,2011,2009,True,0.1526414749295343,26
COM00229.00,2018,2016,True,-0.0028467544194229195,70
COM00230.01,2014,2012,True,-0.03382722379508885,54
COM00721.01,2011,2009,True,0.037527311213536516,54
COM00352.00,2018,2016,True,0.03640725811771634,55
COM00558.01,2019,2017,True,0.3163802882657359,27
COM00354.01,2012,2010,True,0.08747058654502558,25
COM00354.02,2013,2011,True,0.07852823853781582,25
COM00354.03,2010,2008,True,0.07078328498266119,26
COM01278.01,2016,2014,True,0.07316395816987743,51
COM00403.00,2011,2009,True,0.12173370869221047,52
COM00262.00,2008,2006,True,0.07081306321429018,28
COM00326.00,2016,2014,True,0.11522266378531483,55
COM00864.01,2012,2010,True,0.052979675334959155,25
COM01374.01,2016,2014,True,0.053369954160639416,70
COM01254.00,2003,2001,True,0.1083823890736415,42
COM00327.01,2012,2010,True,0.049495774847002946,26
COM00422.01,2017,2015,True,0.06815416548479482,52
COM00544.01,2007,2005,True,0.10085235144532965,28
COM00421.02,2008,2006,True,0.10949045683963808,70
COM00421.04,2008,2006,True,0.14711144001149484,26
COM00421.03,2008,2006,True,0.13439614168248473,26
COM00517.01,2015,2013,True,0.10864145946569101,28
COM00980.00,2012,2010,True,0.07021838277132436,26
COM00855.01,2008,2006,True,0.10349432960582351,70
COM01198.00,2013,2011,True,0.05488055425088112,29
COM00231.00,2014,2012,True,0.025266699798790586,25
COM00436.00,2008,2006,True,0.04718674340004728,51
COM01201.00,2003,2001,True,0.05470847379597979,25
COM00638.00,2008,2006,True,0.08664340468138142,8
COM00054.00,2016,2014,True,0.0465012151122721,29
COM01310.00,2007,2005,True,0.12007664861693533,13
COM01117.00,2008,2006,True,0.0674796215691294,37
COM01329.03,2004,2002,True,0.22153038887861756,22
COM00962.01,2001,1999,True,0.1506819106937654,19
COM01255.00,2016,2014,True,0.07881088059812862,55
COM00890.01,2017,2015,True,0.05944222116404591,49
COM00615.01,2014,2012,True,0.08011658677466299,16
COM00283.00,2014,2012,True,0.17475464900387913,47
COM00050.00,2001,1999,True,0.14787633133986203,21
COM01366.00,2010,2008,True,0.39707625306581573,23
COM00123.00,2012,2010,True,0.16032948297290467,17
COM00830.00,2011,2009,True,0.18758990389483055,18
COM01300.00,2017,2015,True,0.574768084492772,20
COM00250.01,2006,2004,True,0.11138704163573282,14
COM00751.00,2013,2011,True,0.09148727927492382,38
COM00648.00,2018,2016,True,0.1352735363508832,70
COM01102.00,2007,2005,True,0.17814601316220904,13
COM00649.00,2007,2005,True,0.3389369396972528,13
COM00651.00,2011,2009,True,0.26575243071892807,13
COM01273.00,2009,2007,True,0.20030245687165998,10
COM00698.00,2010,2008,True,0.3196423010549374,22
COM00051.00,2016,2014,True,0.43939240040581745,53
COM01209.00,2004,2002,True,0.417673816561318,25
COM01258.00,2011,2009,True,0.21515377857485243,25
COM01039.00,2004,2002,True,0.6198127064026099,18
COM00086.01,2013,2011,True,0.4815210089871551,10
COM00977.00,2007,2005,True,0.32444000813646534,28
COM00779.00,2012,2010,True,0.4954089838096241,14
COM01040.01,2008,2006,True,0.6954321450061427,14
COM00016.00,2013,2011,True,0.35610795422136887,7
COM00009.02,2006,2004,True,0.4517384989358528,2
COM00009.01,2006,2004,True,0.30952095385628603,2
COM00748.03,2005,2003,True,0.16008286741926372,6
COM00748.01,2005,2003,True,0.14553832115257365,6
COM00748.04,2005,2003,True,0.14482161093655654,10
COM00291.00,2005,2003,True,0.2837632057013795,11
COM00396.00,2013,2011,True,0.3462603620625763,27
COM00417.01,2014,2012,True,0.26422836866937827,9
COM00586.00,2016,2014,True,0.01593806657023537,51
COM01052.01,2013,2011,True,0.2186964931243956,17
COM00746.01,2008,2006,True,0.2959570834073929,21
COM00150.00,2004,2002,True,0.15664107341977784,27
COM01061.01,2006,2004,True,0.14242726815041276,16
COM00333.00,2013,2011,True,0.51449562982246,14
COM00625.00,2014,2012,True,0.12724633122079465,20
COM01138.00,2011,2009,True,0.13200358148785454,21
COM00269.00,2009,2007,True,0.08441974329602238,9
COM00008.00,2005,2003,True,0.20296882166285643,11
COM00971.01,2010,2008,True,0.12206169132481329,37
COM01123.01,2016,2014,True,0.1925104403356138,22
COM00018.00,2007,2005,True,0.2132802699921232,69
COM00954.01,2009,2007,True,0.4256397227058938,37
COM00383.00,2009,2007,True,0.13765187746893667,21
COM00778.00,2014,2012,True,0.467161687822326,25
COM00990.01,2009,2007,True,0.2987393291346731,70
COM01418.03,2007,2005,True,0.09060722406128553,51
COM01418.02,2007,2005,True,0.080062889945312,50
COM00696.00,2014,2012,True,0.18406493772821814,22
COM00338.00,2008,2006,True,0.22012638392312273,50
COM00815.00,2004,2002,True,0.7978903410603101,21
COM00263.03,2005,2003,True,0.700800489629034,20
COM00795.01,2006,2004,True,0.5847556715057112,47
COM00164.00,2014,2012,True,0.13923335407051832,70
COM00790.00,2012,2010,True,0.1656580395095944,26
COM00425.00,2005,2003,True,0.34776995647883807,64
COM00325.00,2007,2005,True,0.34473236727126344,18
COM01302.01,2010,2008,True,0.6092578875096866,48
COM00177.00,2007,2005,True,0.691007152074378,70
COM00109.00,2010,2008,True,0.4813771637648829,46
COM01253.00,2006,2004,True,0.4025229120110649,21
COM00906.00,2012,2010,True,0.051930759551161616,70
COM01107.01,2007,2005,True,0.0846883793987677,29
COM00015.00,2015,2013,True,0.11297876743760506,47
COM00705.00,2009,2007,True,0.18589470150681484,40
COM00146.00,2010,2008,True,0.2766544330071159,21
COM00264.00,2012,2010,True,0.1606893939691845,28
COM00163.00,2015,2013,True,0.15296693713013298,48
COM00072.00,2004,2002,True,0.09714587684079812,34
COM00627.01,2009,2007,True,0.1857832968714545,34
COM01402.06,2008,2006,True,0.1203302273607094,23
COM00386.00,2015,2013,True,0.21060998539552933,43
COM00317.01,2006,2004,True,0.17017422566470108,48
COM01402.10,2016,2014,True,0.14690453167174716,22
COM01147.00,2013,2011,True,0.11669045055381005,39
COM01402.01,2008,2006,True,0.1426335827356919,66
COM00627.05,2015,2013,True,0.21848286542282375,48
COM00298.00,2016,2014,True,0.20317079821966205,29
COM00672.02,2018,2016,True,0.24743244152179208,49
COM00655.00,2009,2007,True,0.246032662060519,21
COM00799.00,2014,2012,True,0.13770482488493693,47
COM00672.01,2008,2006,True,0.2373240617045569,32
COM00690.00,2015,2013,True,0.14754614110880435,48
